ID,comment
236,😢 လွမ်းတယ်
237,ယုန်လေးနဲ့ ဂျေဖားယားနဲ့ တစ်ပုဒ်လောက်ဖြုတ်သင့်နေပြီ 🤣
238,ဒီဆောင်းမှာသူနဲ့ကို့ရဲ့ရင်ခုံသံကိုသိခဲ့ရပြီဒီဆောင်းမှာပဲအဆုံးသတ်ခဲ့တယ်
239,ဒီဘဲက ငစား ဆောင်းတွင်းဆို  လို့ကောင်းတဲ့သီချင်းတွေ ထထဆိုတာ 🥲
240,သတိရတယ်ညို😢
241,😢
242,လွမ်းတယ်မင်းကတော့မသိဘူးထင်တယ်😢
243,လွမ်းတယ် ဒီဒီးလေး ဆေးလိပ်တေပ်ုသောက်ဖြစ်တယ် ဒီလောက်ပါပဲ
244,😢
245,လွမ်းလိုက်တာ🐼
246,ကျွန်တော်ဘဝမှာ အချစ်ရဆုံးသူတယောက်ရှိခဲ့ဖူးတယ် ကျွန်တော် အသက်အခု၂၅နှစ် သူက၁၆ ကျော်ပေါ့ သူကအရမ်းကောင်းခဲ့တယ် သူအရွယ်နဲ့မလိုက်အောင် အများဆုံး ဆုံးမခဲ့တယ် အများကြီး ကျွန်တော် အပေါ် ဖြည့်ဆည်းပေခဲ့တယ် အခုထိလည်း သူကိုချစ်နေသေးတယ် သိုပေမဲ့ ဘယ်လို မှ ရှေ့ဆက်မရတော့ တဲ့အခြေအနေတခုမှာဘဲ သူကိုအမြဲစောင့်ကြည့်ရင် အခုသီချင်းလေးထွက်လာတော့ တိုင်ဆိုင်မှုအများကြီးနဲ့ပေါ့ သူလည်း အခုသီချင်းလေးကို နားထောင်မိပါသေချာပါတယ် အာတာကြောင့် သူကို အခုထိ စောင့်ကြည့်ရင်း အမြဲ ရင်ထဲမှာရှိနေသေးတယ် ဆိုတာ သိစေခြင်တယ်
247,😥💓
248,ချယ်ရီသင်းကိုပြောတာလား
249,ာ်သေညြးစြစြ
250,ဘယ်နှစ်ခေါက်ပဲနားထောင်နားထောင် နားထောင်တဲ့အကြိမ်ရေတွက်တိုင်းနာကျင်ရတယ် အတူရှိခဲ့တဲ့အချိန် နှစ်ကဘာမှမဟုတ်ခဲ့တာလား 😭
251,ဒီသီချင်းကြားတိုင်းရင်ဘတ်တွေအောင့်လိုက်တာ😭💔
252,သူများပြန်လာနားထောင်မလားလို့ ငါပြန်လာနားထောင်နေတယ် အခု  အတူတူနားထောင်နေတယ်ပေါ့ အရင်လို
253,ပြင်ဦးလွင်မြို့ကိုလွမ်းလိုတ်တာ😢
254,ကဲဗျာ အကို့သီချင်းရယ် ကိုဂျိုးလေးသီချင်းရယ် နားမထောင်မိအောင်နေမှရမယ် ဗျာ 😢😢😢😢
255,ဆောင်းရာသီရောက်တိုင်းအမှတ်တရတွေ က များလိုက်တာ 😌🤍
256,ကယားပြည်နယ် နန်းမယ်ခုံနားမှာ ရိုက်ထားတာလား ဖြေပေးပါလား
257,ကယားပြည်နယ် နန်းမယ်ခုံနားမှာ ရိုက်ထားတာလား ဖြေပေးပါလား
258,ဘယ်လောက်နားထောင်ရိုးမသွားဘူးဗျာ 😭
259,ဆောင်းဝင်နေတာဆိုတော့ သူလည်းသီချင်းနားထောင်နေလောက်မှာ ညိမ်းနွယ်ရေ ကိုယ်မင်းကိုအသက်ထပ်ပိုချစ်တယ် ဘယ်ချိန်ပြန်လာလက်ခံပေးဖို့အသင့်ပါဘဲ😢
260,အပိုင်းလေးက ပိုပြီ ထိရောက်တယ်🙁🙁🙁
261,ကယားပြည်နယ် နန်းမယ်ခုံနားမှာ ရိုက်ထားတာလား ဖြေပေးပါလား
262,ကယားပြည်နယ် နန်းမယ်ခုံနားမှာ ရိုက်ထားတာလား ဖြေပေးပါလား
263,ကယားပြည်နယ် နန်းမယ်ခုံနားမှာ ရိုက်ထားတာလား ဖြေပေးပါလား
264,ကယားပြည်နယ် နန်းမယ်ခုံနားမှာ ရိုက်ထားတာလား ဖြေပေးပါလား
265,ဆောင်းရာသီမှာစခဲ့တဲ့ငါတို့ဇာတ်လမ်းလေး ခုတော့ရပ်တန့်လို့🤎
266,ဆောင်းရာသီမှာ ချစ်သူတစ်ယောက်လောက်ရပါစေ
267,ချစ်သူရပါစေ ဘ၀တစ်သက်တာလုံးရချင်တယ်
268,တစ်ဖြေးဖြေးပြောင်းလဲလာတဲ့အချိန်တွေနေ့ရက်တွေအတိတ်ကိုပဲ ပြန်သွားချင်နေတယ်
269,သတိရသလိုပြန်လဲဆုံချင်တုန်းဘဲဗျာ
270,သတိရပေမယ့်ြပန်မဆုံချင်တော့ဘူး 😢
271,ဒီအချိန်ဆို ဒီသီချင်းဆီရောက်လာပြီး
272,ရောက်နေတဲ့ ကောင်မလေးကိုလွမ်းတယ် ၊ တစ်ချိန်တုန်းက သူမနဲ့အတူတူရှိခဲ့တဲ့ ကလောရဲ့  နံနက်ခင်းတွေကိုလွမ်းတယ်💔
273,ဒီသီချင်းကို အရမ်းကြိုက်တဲ့ ချစ်ရသူလေးရေ နှစ်ရှိနေပေမဲ့ လွမ်းနေတုန်းပါပဲ
274,ဘာကိုသတိရလို့ ရမှန်း မသိတော့ပါဘူးဗျာ😢
275,ဒီသီချင်းနဲ့တွေရှိခဲ့တာလူငယ်တော်တော်များများဘဲကိုယ်လဲအပါအဝင်ပေါ့
276,မောင်ရယ်နာမည်တောင်မသိတဲ့အချိန်ကိုပြန်သွားချင်မိတယ် နင်ကိုချစ်ရတာအရမ်းပင်ပန် ယုံကြည်မှုလွန်ကယ်သွားလို တခြားရင်ခွင်ပျော်နေတာ
277,အေးစက်လွန်းတဲ့ ရင်ခွင်မင်းနဲ့နွေးလာလို့ အဲ့စာကြောင်းလေးထဲကတိုင်း သူမနဲ့အတူတွေ့ခွင့်ရခဲ့တယ် ချစ်ဖြစ်ခဲ့ကြတယ် ခုထိလဲ ချစ်သူဘဝနဲ့ ဖြတ်သန်းရင်းနဲ့ ချစ်ရသူတိုင်း နီးဆပ်ကြပါစေ။
278,ဆောင်းအလယ်မှာမင်း၀င်လာပီးဆောင်းအလယ်မှာပဲမင်းပြန်ထွက်သွားတယါ
279,ဒီသီချင်းနဲ့အမှတ်တရတွေအများကြီးပေါ့ကွယ်
280,မင်းမေ့ စပ သီချင်းလား လဲမပါ   ပဲဆိုနေတာ သီချင်းနဲ့ ညီအောင်ရေးပါဆိုပါ ခုတော့ဘာမှမပြည့်စုံတဲ့ဟာ လီးပဲ နာမည်ကြီးဖို့မစဥ်းစားနဲ့
281,အခုလည်း အေးနေပြီလေ သူမကတော့ အနားမှာမရှိတော့ပါဘူး😢
282,အချိန်တွေအကြာကြီးလက်တွဲခဲ့ကြတယ်တယောက်နဲ့တယောက်ဖေးမခဲ့တယ် ကူညီခဲ့ကြတယ်သည်းညည်းခံတတ်တဲ့စိတ်လေးသာပိုမွေးနိုင်ခဲ့ရင် ဒီလိုဆိုးဝါးတဲ့ဖြစ်ရပ်တွေနဲ့အပြီးသတ်ရမဲ့ ဆက်ဆံရေးတစ်ခုဖြစ်ခဲ့မှာမဟုတ်ဘူးဘာပဲဖြစ်ဖြစ် သင်ခန်းစာယူပီးအဆင်ပြေအောင်ရှေ့ဆက်နေကြရမှာပါပဲ ဘ၀ကခွဲခွာခြင်းတွေအပြည့်ပဲမဟုတ်လား
